iter	Passed	Remaining
1135	5028	39234
1136	5033	39235
1137	5037	39231
1138	5041	39222
1139	5045	39213
1140	5049	39205
1141	5053	39197
1142	5057	39189
1143	5061	39182
1144	5065	39172
1145	5069	39163
1146	5073	39156
1147	5076	39147
1148	5080	39138
1149	5083	39124
1150	5088	39117
1151	5092	39116
1152	5098	39121
1153	5102	39109
1154	5106	39102
1155	5110	39097
1156	5114	39092
1157	5119	39087
1158	5123	39081
1159	5127	39073
1160	5131	39066
1161	5136	39067
1162	5142	39074
1163	5155	39135
1164	5168	39192
1165	5174	39201
1166	5179	39202
1167	5184	39202
1168	5189	39202
1169	5194	39205
1170	5199	39205
1171	5204	39205
1172	5210	39209
1173	5214	39201
1174	5218	39194
1175	5222	39185
1176	5226	39176
1177	5230	39170
1178	5234	39166
1179	5240	39167
1180	5244	39164
1181	5249	39161
1182	5254	39160
1183	5258	39152
1184	5261	39141
1185	5265	39135
1186	5271	39137
1187	5275	39134
1188	5279	39126
1189	5284	39119
1190	5288	39113
1191	5292	39108
1192	5296	39101
1193	5300	39094
1194	5304	39087
1195	5309	39082
1196	5313	39075
1197	5317	39068
1198	5321	39062
1199	5325	39055
1200	5329	39048
1201	5334	39043
1202	5338	39037
1203	5342	39032
1204	5346	39025
1205	5350	39015
1206	5354	39007
1207	5358	39001
1208	5363	38996
1209	5367	38988
1210	5370	38977
1211	5374	38968
1212	5378	38962
1213	5382	38957
1214	5386	38946
1215	5390	38942
1216	5396	38946
1217	5401	38945
1218	5406	38946
1219	5411	38948
1220	5417	38951
1221	5422	38952
1222	5428	38957
1223	5433	38957
1224	5438	38956
1225	5443	38957
1226	5449	38961
1227	5454	38962
1228	5459	38963
1229	5464	38960
1230	5468	38953
1231	5472	38947
1232	5476	38940
1233	5480	38932
1234	5484	38926
1235	5488	38919
1236	5492	38910
1237	5496	38905
1238	5500	38896
1239	5505	38891
1240	5508	38881
1241	5512	38873
1242	5517	38871
1243	5521	38863
1244	5525	38857
1245	5530	38854
1246	5533	38842
1247	5537	38833
1248	5541	38827
1249	5546	38822
1250	5550	38817
1251	5554	38813
1252	5558	38803
1253	5562	38794
1254	5566	38788
1255	5570	38783
1256	5575	38778
1257	5579	38770
1258	5583	38765
1259	5587	38758
1260	5592	38755
1261	5597	38753
1262	5601	38752
1263	5606	38748
1264	5610	38741
1265	5614	38736
1266	5618	38728
1267	5622	38720
1268	5626	38712
1269	5630	38706
1270	5635	38701
1271	5639	38693
1272	5642	38684
1273	5647	38683
1274	5652	38678
1275	5656	38676
1276	5661	38673
1277	5666	38670
1278	5670	38666
1279	5674	38655
1280	5679	38656
1281	5683	38651
1282	5688	38647
1283	5692	38642
1284	5696	38637
1285	5701	38631
1286	5705	38625
1287	5709	38619
1288	5714	38618
1289	5718	38610
1290	5722	38603
1291	5726	38597
1292	5730	38591
1293	5734	38584
1294	5739	38582
1295	5744	38577
1296	5748	38570
1297	5752	38563
1298	5756	38556
1299	5760	38550
1300	5764	38541
1301	5768	38539
1302	5773	38533
1303	5777	38525
1304	5781	38522
1305	5786	38517
1306	5789	38509
1307	5793	38501
1308	5797	38495
1309	5802	38489
1310	5806	38482
1311	5809	38473
1312	5814	38467
1313	5818	38460
1314	5821	38451
1315	5825	38443
1316	5829	38435
1317	5833	38426
1318	5837	38418
1319	5841	38410
1320	5844	38401
1321	5848	38392
1322	5852	38383
1323	5856	38377
1324	5860	38368
1325	5864	38362
1326	5868	38354
1327	5872	38346
1328	5875	38335
1329	5879	38329
1330	5883	38321
1331	5887	38311
1332	5891	38306
1333	5895	38298
1334	5899	38292
1335	5903	38285
1336	5907	38276
1337	5911	38268
1338	5915	38263
1339	5920	38260
1340	5924	38254
1341	5928	38250
1342	5933	38244
1343	5936	38236
1344	5940	38227
1345	5944	38222
1346	5948	38215
1347	5952	38208
1348	5956	38200
1349	5960	38192
1350	5965	38189
1351	5969	38182
1352	5973	38176
1353	5977	38171
1354	5982	38169
1355	5987	38164
1356	5991	38160
1357	5995	38155
1358	6000	38151
1359	6004	38143
1360	6008	38139
1361	6012	38134
1362	6017	38131
1363	6022	38129
1364	6026	38121
1365	6030	38117
1366	6034	38112
1367	6038	38105
1368	6042	38098
1369	6047	38093
1370	6051	38089
1371	6056	38085
1372	6060	38081
1373	6065	38078
1374	6069	38074
1375	6074	38069
1376	6078	38063
1377	6082	38058
1378	6086	38052
1379	6090	38044
1380	6094	38037
1381	6098	38029
1382	6102	38022
1383	6105	38011
1384	6109	38003
1385	6113	37996
1386	6117	37989
1387	6121	37980
1388	6125	37973
1389	6129	37966
1390	6133	37958
1391	6137	37952
1392	6141	37945
1393	6145	37938
1394	6149	37930
1395	6152	37922
1396	6157	37918
1397	6161	37910
1398	6165	37902
1399	6168	37893
1400	6173	37888
1401	6177	37885
1402	6181	37877
1403	6185	37870
1404	6189	37866
1405	6193	37859
1406	6197	37853
1407	6201	37845
1408	6206	37840
1409	6210	37833
1410	6213	37825
1411	6217	37817
1412	6221	37811
1413	6225	37803
1414	6230	37799
1415	6233	37789
1416	6237	37782
1417	6241	37776
1418	6245	37770
1419	6250	37764
1420	6254	37757
1421	6258	37751
1422	6262	37745
1423	6266	37737
1424	6270	37731
1425	6273	37723
1426	6277	37715
1427	6281	37707
1428	6285	37700
1429	6289	37692
1430	6293	37686
1431	6297	37678
1432	6301	37672
1433	6305	37664
1434	6309	37660
1435	6313	37652
1436	6317	37646
1437	6321	37637
1438	6326	37635
1439	6330	37631
1440	6334	37624
1441	6339	37621
1442	6343	37616
1443	6347	37607
1444	6351	37601
1445	6355	37597
1446	6359	37591
1447	6363	37585
1448	6369	37586
1449	6373	37581
1450	6377	37576
1451	6381	37569
1452	6385	37561
1453	6389	37556
1454	6393	37546
1455	6397	37542
1456	6401	37534
1457	6405	37528
1458	6409	37523
1459	6414	37517
1460	6417	37510
1461	6422	37504
1462	6425	37496
1463	6430	37491
1464	6434	37485
1465	6437	37476
1466	6441	37468
1467	6445	37461
1468	6450	37457
1469	6455	37457
1470	6459	37450
1471	6463	37447
1472	6467	37441
1473	6471	37434
1474	6475	37428
1475	6479	37420
1476	6483	37413
1477	6487	37407
1478	6491	37400
1479	6495	37394
1480	6499	37386
1481	6503	37381
1482	6508	37376
1483	6512	37371
1484	6516	37363
1485	6520	37357
1486	6524	37352
1487	6528	37347
1488	6533	37342
1489	6537	37335
1490	6541	37332
1491	6546	37329
1492	6550	37326
1493	6554	37318
1494	6558	37312
1495	6563	37308
1496	6567	37302
1497	6571	37298
1498	6576	37293
1499	6580	37288
1500	6584	37285
1501	6589	37280
1502	6593	37275
1503	6597	37267
1504	6601	37261
1505	6605	37256
1506	6609	37251
1507	6613	37244
1508	6617	37238
1509	6621	37231
1510	6626	37228
1511	6630	37221
1512	6634	37216
